CustomerName	OrderDate	OrderValue
Van Prosch	2022-03-30T03:47:01Z	1780.11
Raviv Extence	2021-07-30T07:24:03Z	804.31
Zabrina Deniskevich	2021-07-07T08:03:12Z	4248.47
Donall Deeming	2021-05-26T16:04:42Z	3444.74
Cori Keohane	2021-12-11T05:04:04Z	3980.68
Vernon Speller	2021-11-17T15:57:09Z	210.9
Laraine Ickovic	2021-10-15T10:56:46Z	1721.54
Elizabeth Fagg	2021-09-10T07:17:05Z	2825.61
Malina Bruin	2021-11-18T07:24:48Z	2690.66
Bee Skoggings	2021-08-14T03:47:35Z	3245.43
Elizabeth Fagg	2021-09-14T06:12:56Z	3882.64
Van Prosch	2022-01-23T00:13:20Z	3541.56
Malina Bruin	2022-01-06T15:18:06Z	642.22
Jaquenette Skinner	2021-10-31T08:22:46Z	3083.48
Pierson Stutt	2021-07-15T14:02:37Z	3772.08
Aland Pettendrich	2022-05-03T18:05:04Z	3129.11
Donall Deeming	2021-07-10T16:45:50Z	675.74
Jarrett Olney	2021-11-21T18:24:17Z	1437.76
Raviv Extence	2022-01-25T05:12:13Z	2097.5
Burlie Poulett	2021-06-25T19:29:03Z	319.66
Jaquenette Skinner	2022-02-13T16:04:47Z	4159.03
Van Prosch	2021-07-27T03:08:37Z	2840.15
Jaquenette Skinner	2021-07-06T04:20:37Z	1701.12
Jarrett Olney	2021-08-21T04:53:57Z	577.77
Dennie Bransom	2021-06-22T03:47:25Z	1737.83
Van Prosch	2021-11-15T01:03:51Z	903.02
Jarrett Olney	2021-07-14T00:51:09Z	1091.8
Blaire Dunleavy	2022-04-23T01:48:09Z	2903.06
Zabrina Deniskevich	2021-10-29T08:48:36Z	3063.12
Vernon Speller	2022-01-06T06:17:36Z	4304.11
Jaquenette Skinner	2021-11-04T12:53:52Z	3083.95
Chandra O'Donoghue	2022-01-19T15:17:27Z	3839.59
Rip Hardware	2022-01-30T07:15:00Z	2184.53
Lenard Emlen	2021-10-12T16:01:14Z	577.82
Blaire Dunleavy	2021-10-04T14:04:32Z	2317.64
Rip Hardware	2022-05-05T23:21:15Z	1020.69
Dennie Bransom	2021-07-19T14:22:51Z	4578.14
Jarrett Olney	2022-02-16T21:24:30Z	1626.36
De witt Standbridge	2021-06-12T23:13:11Z	1967.76
Vernon Speller	2021-10-03T08:28:36Z	2169.97
Cori Keohane	2021-10-26T21:22:56Z	3044.17
Burlie Poulett	2022-05-05T04:12:03Z	1083.98
De witt Standbridge	2021-08-24T19:06:14Z	4939.61
Donall Deeming	2021-12-11T06:30:11Z	3428.88
Zabrina Deniskevich	2022-04-22T12:22:19Z	1607.39
Van Prosch	2021-12-02T14:35:00Z	214.57
Elizabeth Fagg	2021-09-30T08:48:44Z	1357.29
De witt Standbridge	2022-03-16T12:37:02Z	1575.49
Vernon Speller	2021-09-24T12:14:46Z	1696.48
Bee Skoggings	2021-05-21T03:31:11Z	1410.68
Rip Hardware	2021-06-30T20:53:43Z	2644.6
Donall Deeming	2021-09-27T17:09:51Z	2678.11
Chandra O'Donoghue	2022-03-20T14:47:31Z	516.61
Lenard Emlen	2022-04-30T08:11:58Z	335.69
Chandra O'Donoghue	2021-06-24T14:21:12Z	2179.38
Malina Bruin	2021-05-11T09:43:23Z	3886.31
Aland Pettendrich	2021-05-20T18:13:21Z	2533.83
Aland Pettendrich	2021-07-23T10:05:33Z	1976.7
Chandra O'Donoghue	2021-12-12T22:07:04Z	3199.14
Malina Bruin	2021-10-14T17:41:15Z	2366.0
Lenard Emlen	2022-03-31T04:48:18Z	3049.48
Burlie Poulett	2021-08-11T20:17:41Z	4577.26
Raviv Extence	2021-07-23T03:01:35Z	1018.99
Pierson Stutt	2021-11-17T08:06:14Z	1180.02
Raviv Extence	2022-02-04T22:11:00Z	4278.98
Raviv Extence	2022-05-03T16:45:20Z	3033.74
Lenard Emlen	2022-01-27T05:03:50Z	3747.44
Aland Pettendrich	2021-07-20T13:38:13Z	1835.3
Vernon Speller	2021-11-03T10:28:04Z	4372.33
De witt Standbridge	2021-05-18T06:28:12Z	3740.26
Burlie Poulett	2021-10-27T04:39:09Z	2105.06
Vernon Speller	2022-01-12T01:38:29Z	615.83
Nola Girardy	2021-10-16T14:31:44Z	4791.27
Jaquenette Skinner	2021-07-07T04:09:14Z	4122.43
Donall Deeming	2021-07-18T22:04:55Z	833.1
Dennie Bransom	2022-01-13T05:19:07Z	4916.34
Zabrina Deniskevich	2021-11-22T19:05:34Z	2600.77
Malina Bruin	2021-08-11T19:21:35Z	4629.88
Elizabeth Fagg	2021-10-24T02:50:22Z	1586.53
Raviv Extence	2022-01-25T12:54:38Z	1703.52
Chandra O'Donoghue	2022-04-03T07:59:50Z	244.08
Pierson Stutt	2021-11-14T08:16:57Z	512.46
Aland Pettendrich	2022-03-16T06:06:05Z	783.29
Burlie Poulett	2021-06-13T18:46:32Z	1615.49
Rip Hardware	2021-05-12T09:57:56Z	3714.66
Van Prosch	2021-11-07T11:51:04Z	1915.2
Pierson Stutt	2021-08-01T16:50:48Z	248.77
Laraine Ickovic	2022-01-16T03:25:50Z	1111.26
Aland Pettendrich	2021-10-21T18:31:27Z	2202.51
Nola Girardy	2022-01-10T13:57:57Z	4582.19
Elizabeth Fagg	2021-11-29T01:57:39Z	1739.9
Rip Hardware	2021-06-29T13:09:06Z	3174.63
Vernon Speller	2022-01-22T01:37:16Z	4570.35
Jarrett Olney	2021-12-16T12:21:28Z	1127.51
Rip Hardware	2021-07-13T12:12:30Z	3675.87
Jarrett Olney	2021-05-15T13:35:48Z	806.48
Donall Deeming	2022-05-01T02:39:18Z	3232.43
Malina Bruin	2022-01-21T17:47:51Z	2115.74
Cori Keohane	2022-01-24T00:19:28Z	1077.19
Vernon Speller	2022-03-27T11:00:50Z	2181.73
Lenard Emlen	2021-05-14T14:15:37Z	2580.26
Cori Keohane	2022-02-07T19:55:17Z	2941.61
Vernon Speller	2021-06-01T21:54:29Z	3772.47
Rip Hardware	2021-08-30T00:58:00Z	4052.01
Van Prosch	2021-05-28T22:21:44Z	2785.8
Raviv Extence	2021-05-17T03:23:53Z	3615.93
Rip Hardware	2021-09-13T08:11:50Z	2810.67
Bee Skoggings	2021-12-17T01:43:24Z	4405.82
Malina Bruin	2022-01-14T12:22:12Z	4782.21
Aland Pettendrich	2021-08-15T13:51:58Z	3398.5
Aland Pettendrich	2021-09-19T06:21:38Z	4339.74
Nola Girardy	2021-09-13T17:22:28Z	2770.79
Jarrett Olney	2021-08-28T20:03:47Z	3809.97
Raviv Extence	2022-01-15T06:48:21Z	3697.19
Rip Hardware	2021-08-21T20:15:37Z	4344.92
Lenard Emlen	2021-06-12T10:18:31Z	1978.01
Jaquenette Skinner	2021-07-20T16:18:04Z	3294.29
Vernon Speller	2022-02-05T15:39:47Z	2828.79
Jarrett Olney	2022-03-13T03:15:20Z	3351.89
Raviv Extence	2021-08-03T13:15:10Z	558.66
Jaquenette Skinner	2022-04-02T11:51:23Z	3040.05
Bee Skoggings	2021-06-26T14:37:05Z	4581.42
Van Prosch	2022-03-02T09:24:58Z	4289.89
Aland Pettendrich	2021-10-06T19:23:17Z	3581.72
Elizabeth Fagg	2021-06-29T19:05:13Z	2849.98
Malina Bruin	2021-10-17T05:47:46Z	510.6
De witt Standbridge	2021-10-30T23:54:19Z	1315.78
Bee Skoggings	2022-03-26T23:05:51Z	2655.09
De witt Standbridge	2021-06-11T03:07:27Z	1204.76
Chandra O'Donoghue	2022-02-02T18:07:09Z	829.77
Pierson Stutt	2022-04-02T18:51:54Z	1591.09
De witt Standbridge	2022-02-19T04:02:48Z	1302.53
Elizabeth Fagg	2021-11-09T19:25:10Z	3238.13
Lenard Emlen	2021-11-23T00:20:32Z	701.07
Vernon Speller	2021-10-11T15:07:15Z	2459.37
Pierson Stutt	2021-08-02T14:35:43Z	4382.66
Malina Bruin	2021-08-06T03:11:29Z	1013.73
Van Prosch	2022-01-24T12:02:09Z	3272.5
Elizabeth Fagg	2022-05-04T15:16:47Z	3293.11
Chandra O'Donoghue	2021-10-19T17:06:54Z	4675.48
De witt Standbridge	2021-07-11T18:56:44Z	374.6
Laraine Ickovic	2021-09-01T13:58:32Z	4286.28
Pierson Stutt	2021-06-02T01:25:51Z	1583.72
Blaire Dunleavy	2022-01-29T05:35:31Z	1040.32
Aland Pettendrich	2021-08-10T07:18:09Z	2647.75
Aland Pettendrich	2022-03-10T07:09:16Z	3049.09
Van Prosch	2021-11-22T12:28:11Z	4851.11
Zabrina Deniskevich	2021-10-14T20:47:40Z	906.51
Laraine Ickovic	2021-11-24T15:32:55Z	2713.63
Laraine Ickovic	2021-12-10T17:29:57Z	336.65
Elizabeth Fagg	2021-12-25T20:31:13Z	4524.34
Elizabeth Fagg	2021-10-09T07:44:42Z	4666.19
De witt Standbridge	2022-01-21T12:18:24Z	3365.77
Pierson Stutt	2021-10-06T07:55:07Z	4181.4
Zabrina Deniskevich	2021-09-23T15:17:17Z	676.73
Jaquenette Skinner	2021-11-08T20:04:33Z	380.17
Nola Girardy	2021-12-19T16:14:17Z	4210.65
Rip Hardware	2021-07-10T15:55:08Z	2659.26
Vernon Speller	2022-04-23T16:43:29Z	830.48
Chandra O'Donoghue	2021-12-27T03:48:00Z	1847.55
Cori Keohane	2022-01-15T22:33:21Z	3582.94
Laraine Ickovic	2022-03-05T03:34:13Z	4127.12
Jarrett Olney	2021-10-19T03:05:43Z	3194.32
Bee Skoggings	2021-08-04T07:36:34Z	4197.18
Cori Keohane	2022-03-13T05:33:50Z	4331.36
Jaquenette Skinner	2021-12-05T01:48:36Z	2345.19
Vernon Speller	2021-05-16T07:45:43Z	2683.12
Aland Pettendrich	2021-10-11T13:18:29Z	1709.85
Vernon Speller	2021-11-14T11:52:59Z	2861.67
Dennie Bransom	2021-05-22T16:59:42Z	2751.38
Blaire Dunleavy	2022-02-18T14:42:42Z	2306.02
Donall Deeming	2022-01-08T12:25:48Z	668.53
Rip Hardware	2021-08-08T15:36:02Z	1620.06
Dennie Bransom	2021-09-17T22:27:53Z	2978.12
Laraine Ickovic	2022-01-10T13:10:17Z	3586.29
Aland Pettendrich	2021-07-27T22:43:55Z	3571.27
Vernon Speller	2021-07-12T00:37:36Z	3181.62
Nola Girardy	2022-02-24T06:26:15Z	2607.65
Jarrett Olney	2022-01-04T20:52:05Z	3150.39
Aland Pettendrich	2022-01-30T04:15:44Z	2887.2
Pierson Stutt	2021-11-15T17:08:04Z	4696.29
Donall Deeming	2021-06-06T04:16:09Z	1184.04
Donall Deeming	2022-01-24T20:44:28Z	1551.23
Jarrett Olney	2022-04-05T18:23:27Z	643.97
Donall Deeming	2021-08-17T23:03:21Z	1240.66
Burlie Poulett	2022-02-20T15:57:05Z	484.12
Zabrina Deniskevich	2021-10-22T09:39:13Z	3964.01
Aland Pettendrich	2021-11-11T23:10:04Z	1010.46
Pierson Stutt	2022-01-26T14:05:52Z	3325.24
Dennie Bransom	2022-04-29T11:42:07Z	4363.12
Aland Pettendrich	2021-07-07T08:10:54Z	1722.99
Chandra O'Donoghue	2021-07-14T17:27:37Z	2838.31
Lenard Emlen	2021-12-06T00:26:51Z	2297.42
Bee Skoggings	2022-04-24T10:12:58Z	670.8
Blaire Dunleavy	2021-10-07T07:40:14Z	3691.85
Blaire Dunleavy	2021-07-05T11:34:54Z	4178.66
Donall Deeming	2021-07-28T06:57:11Z	969.11
Blaire Dunleavy	2021-07-05T07:55:52Z	447.37
Zabrina Deniskevich	2022-01-11T21:39:30Z	3086.65
Nola Girardy	2021-05-17T21:25:54Z	1629.68
Vernon Speller	2021-05-23T03:55:56Z	766.47
Vernon Speller	2021-05-12T01:57:21Z	3329.56
Pierson Stutt	2022-02-21T05:10:16Z	1725.41
Jarrett Olney	2021-12-30T22:36:47Z	1320.49
Vernon Speller	2021-05-31T01:00:38Z	2133.96
Aland Pettendrich	2021-09-20T00:55:50Z	746.01
Malina Bruin	2022-01-11T00:14:22Z	4083.97
Rip Hardware	2021-07-20T03:28:43Z	3563.42
Elizabeth Fagg	2021-12-14T19:37:00Z	4195.96
Chandra O'Donoghue	2021-09-20T14:16:17Z	650.6
Burlie Poulett	2021-11-26T05:13:55Z	4962.51
Chandra O'Donoghue	2021-11-18T18:31:35Z	1310.46
Jarrett Olney	2021-11-17T02:43:10Z	3383.89
Blaire Dunleavy	2022-02-18T05:29:39Z	2629.76
Laraine Ickovic	2022-01-26T08:34:45Z	2452.78
Rip Hardware	2021-08-25T12:16:18Z	4796.21
Dennie Bransom	2021-10-21T08:14:08Z	1346.08
Dennie Bransom	2021-05-16T00:51:08Z	4484.16
Dennie Bransom	2021-12-17T08:11:17Z	4133.76
Nola Girardy	2021-12-19T06:55:47Z	855.53
Elizabeth Fagg	2021-09-24T11:44:17Z	2027.13
Chandra O'Donoghue	2021-11-11T07:14:46Z	3271.05
Jaquenette Skinner	2021-05-30T08:49:04Z	3121.51
De witt Standbridge	2022-03-04T20:11:03Z	1055.51
Van Prosch	2021-08-27T07:28:44Z	3331.3
Chandra O'Donoghue	2021-12-17T18:40:27Z	2463.86
Vernon Speller	2022-03-01T22:57:50Z	1895.54
Bee Skoggings	2021-12-04T07:52:25Z	609.66
Bee Skoggings	2021-11-06T15:08:02Z	4827.12
Burlie Poulett	2021-10-06T01:47:29Z	2933.57
Vernon Speller	2022-04-03T12:18:00Z	4287.24
Pierson Stutt	2022-02-24T05:51:05Z	4758.72
Zabrina Deniskevich	2021-12-17T00:57:12Z	292.06
Lenard Emlen	2021-12-09T12:33:32Z	738.37
Zabrina Deniskevich	2021-12-06T18:07:29Z	4634.4
Burlie Poulett	2021-11-13T00:00:00Z	2035.58
Dennie Bransom	2022-01-17T08:02:45Z	3511.68
Vernon Speller	2021-06-02T13:38:40Z	579.96
Donall Deeming	2021-06-02T20:28:53Z	3979.79
Pierson Stutt	2021-08-10T18:00:31Z	2014.79
Pierson Stutt	2021-12-13T09:54:35Z	661.84
Bee Skoggings	2021-06-19T01:58:47Z	3952.74
Aland Pettendrich	2021-08-04T22:19:40Z	4560.19
Elizabeth Fagg	2022-03-25T16:14:02Z	4869.25
Chandra O'Donoghue	2021-12-24T01:35:39Z	587.77
Malina Bruin	2021-10-13T11:04:56Z	4501.42
Donall Deeming	2021-12-17T12:08:00Z	3069.75
Raviv Extence	2022-03-04T04:35:46Z	687.96
Aland Pettendrich	2022-04-16T15:37:38Z	1341.78
Raviv Extence	2022-01-24T10:45:38Z	4436.48
Raviv Extence	2022-02-05T13:19:18Z	1440.88
Aland Pettendrich	2021-06-30T08:52:26Z	1131.02
Chandra O'Donoghue	2021-06-30T19:11:12Z	3606.06
Blaire Dunleavy	2021-07-02T19:06:26Z	4229.97
Raviv Extence	2021-12-29T04:40:09Z	1708.41
Laraine Ickovic	2022-03-05T17:37:11Z	4560.19
Blaire Dunleavy	2021-06-01T01:06:18Z	4222.45
Van Prosch	2022-03-15T23:43:27Z	1354.08
Raviv Extence	2022-01-09T00:21:48Z	4446.44
Cori Keohane	2021-12-12T22:05:12Z	674.99
Dennie Bransom	2022-03-11T02:03:06Z	3586.78
Laraine Ickovic	2021-12-24T11:02:28Z	2130.69
Vernon Speller	2021-12-09T06:05:36Z	3482.6
Pierson Stutt	2021-07-27T00:49:14Z	3262.8
Lenard Emlen	2021-07-21T23:54:46Z	2376.4
Chandra O'Donoghue	2022-04-04T11:21:41Z	4935.3
Van Prosch	2021-12-15T02:33:42Z	968.72
Bee Skoggings	2022-04-14T22:20:16Z	235.58
De witt Standbridge	2022-04-27T11:27:26Z	2940.89
Bee Skoggings	2021-10-15T10:23:54Z	4399.37
Malina Bruin	2021-12-02T10:26:33Z	2708.93
Bee Skoggings	2022-01-10T06:27:37Z	4087.81
Pierson Stutt	2022-03-26T14:34:33Z	706.4
Vernon Speller	2022-01-19T05:57:16Z	2144.15
Rip Hardware	2021-06-25T17:44:04Z	2136.48
Lenard Emlen	2021-08-14T18:22:12Z	3886.78
Donall Deeming	2022-02-28T23:45:24Z	1248.16
Burlie Poulett	2022-02-02T19:17:27Z	3843.56
Nola Girardy	2021-12-30T04:24:59Z	2110.16
Zabrina Deniskevich	2021-06-23T19:07:00Z	558.4
Burlie Poulett	2021-06-02T09:24:48Z	1996.99
Nola Girardy	2021-05-19T21:47:29Z	2617.41
Bee Skoggings	2021-10-31T14:08:36Z	818.97
Dennie Bransom	2021-08-16T08:12:47Z	2561.01
Cori Keohane	2022-04-22T15:54:58Z	3539.38
Zabrina Deniskevich	2021-09-01T22:21:11Z	2023.89
Raviv Extence	2021-08-11T00:15:58Z	1010.49
Bee Skoggings	2022-01-27T13:25:39Z	4562.54
Pierson Stutt	2022-03-23T01:40:50Z	1994.68
Nola Girardy	2022-01-16T19:38:40Z	834.95
Jarrett Olney	2021-08-14T16:14:26Z	3628.0
Laraine Ickovic	2021-09-14T17:45:42Z	2333.32
Burlie Poulett	2022-03-16T03:33:53Z	3420.96
Laraine Ickovic	2021-11-29T09:24:09Z	2974.02
Zabrina Deniskevich	2022-02-02T16:51:10Z	990.52
Malina Bruin	2021-11-14T18:11:55Z	2125.08
Nola Girardy	2022-03-19T15:38:28Z	3053.26
Bee Skoggings	2022-03-14T21:33:06Z	2845.58
Van Prosch	2022-02-20T18:00:02Z	3317.44
Burlie Poulett	2021-07-26T15:31:24Z	4928.87
Malina Bruin	2021-07-06T11:07:31Z	2662.37
Raviv Extence	2021-07-08T09:48:01Z	2626.55
Jaquenette Skinner	2021-08-08T10:21:03Z	4353.89
Aland Pettendrich	2022-01-12T21:24:40Z	1651.82
Pierson Stutt	2021-07-11T00:19:57Z	3751.69
Pierson Stutt	2021-06-18T09:49:28Z	2337.01
De witt Standbridge	2021-12-29T17:08:35Z	4067.01
Elizabeth Fagg	2021-06-28T12:49:02Z	3432.84
Jaquenette Skinner	2022-02-21T11:19:43Z	1539.58
Vernon Speller	2021-06-09T17:09:55Z	4179.41
Jaquenette Skinner	2021-05-24T12:10:38Z	413.1
Van Prosch	2021-10-20T10:49:33Z	3848.71
Pierson Stutt	2022-01-20T14:16:55Z	1059.01
Bee Skoggings	2022-01-06T22:20:01Z	3751.39
Pierson Stutt	2021-08-05T21:38:43Z	2901.2
Raviv Extence	2021-06-15T21:39:40Z	1817.0
Raviv Extence	2021-11-22T03:42:00Z	2179.0
Malina Bruin	2021-07-26T06:34:57Z	1248.89
Zabrina Deniskevich	2021-10-01T15:33:16Z	4792.98
Laraine Ickovic	2021-08-23T00:30:35Z	414.72
Donall Deeming	2022-03-13T18:40:45Z	1139.97
Van Prosch	2021-12-11T10:50:27Z	1794.79
Aland Pettendrich	2021-06-30T21:10:11Z	2197.18
Dennie Bransom	2021-06-29T01:32:45Z	2692.35
Elizabeth Fagg	2021-10-01T17:14:08Z	3829.53
Vernon Speller	2021-07-29T14:35:11Z	929.42
Jaquenette Skinner	2021-08-11T16:24:53Z	2030.44
Van Prosch	2021-10-05T19:54:44Z	3200.92
Raviv Extence	2021-08-28T00:26:18Z	3286.43
Dennie Bransom	2021-05-22T05:55:45Z	3535.87
Lenard Emlen	2021-09-06T13:58:25Z	3350.09
Jaquenette Skinner	2022-04-28T06:33:47Z	931.92
Jaquenette Skinner	2022-04-16T07:58:13Z	3385.23
Jaquenette Skinner	2021-12-09T09:56:40Z	4752.25
Pierson Stutt	2022-02-14T00:32:53Z	3686.41
Raviv Extence	2021-08-12T17:04:09Z	1636.55
Blaire Dunleavy	2022-01-30T17:21:15Z	1971.34
Dennie Bransom	2021-11-21T03:36:43Z	1661.06
Pierson Stutt	2021-10-19T13:15:05Z	3178.01
De witt Standbridge	2021-11-27T02:25:21Z	4401.85
Rip Hardware	2021-11-26T23:01:28Z	1623.38
Nola Girardy	2022-04-07T13:38:04Z	1271.61
Chandra O'Donoghue	2021-08-12T04:25:39Z	3882.3
Nola Girardy	2022-03-25T04:32:23Z	4799.12
Bee Skoggings	2021-11-03T05:53:30Z	4630.12
Aland Pettendrich	2022-03-02T20:00:29Z	4422.43
Jaquenette Skinner	2021-08-18T11:39:39Z	4909.11
Van Prosch	2021-11-01T10:08:45Z	3545.62
Donall Deeming	2022-02-16T00:56:20Z	892.81
Jarrett Olney	2021-06-26T17:28:20Z	803.54
De witt Standbridge	2021-06-10T02:05:18Z	4291.52
Vernon Speller	2022-03-07T07:08:20Z	765.68
Malina Bruin	2022-02-08T00:37:20Z	845.51
Cori Keohane	2021-09-21T18:17:05Z	1372.39
Zabrina Deniskevich	2021-06-11T09:51:29Z	3037.64
Bee Skoggings	2021-11-30T05:33:33Z	2922.22
Jaquenette Skinner	2021-07-26T09:24:05Z	892.9
De witt Standbridge	2021-05-08T05:36:48Z	2625.31
Jaquenette Skinner	2022-02-25T03:28:16Z	3339.87
Jarrett Olney	2021-08-29T07:01:05Z	1504.44
Blaire Dunleavy	2021-12-14T01:08:09Z	661.32
Dennie Bransom	2022-04-25T09:08:56Z	451.87
Pierson Stutt	2022-03-05T04:26:27Z	4459.22
Van Prosch	2022-04-15T02:37:43Z	1478.88
Vernon Speller	2022-04-24T03:22:05Z	2911.55
Malina Bruin	2022-04-09T14:09:47Z	1334.74
Raviv Extence	2021-09-12T12:43:18Z	2089.9
Rip Hardware	2021-07-10T15:14:57Z	1410.06
Jaquenette Skinner	2022-02-16T23:35:04Z	3881.98
De witt Standbridge	2021-11-25T07:29:32Z	682.08
Blaire Dunleavy	2021-09-06T04:16:50Z	4605.61
Cori Keohane	2021-10-31T23:03:36Z	4635.29
Zabrina Deniskevich	2021-12-20T02:20:56Z	568.78
De witt Standbridge	2022-02-19T03:09:37Z	2415.47
Van Prosch	2021-07-10T19:10:14Z	4212.29
Cori Keohane	2021-06-09T02:19:45Z	2515.68
Blaire Dunleavy	2022-01-03T12:23:21Z	671.24
Vernon Speller	2021-08-10T19:01:58Z	1816.83
Chandra O'Donoghue	2021-06-10T20:42:19Z	2947.74
Laraine Ickovic	2021-09-06T02:57:32Z	3770.29
Raviv Extence	2021-05-12T20:46:45Z	833.03
Pierson Stutt	2022-03-28T17:11:39Z	1375.12
Vernon Speller	2021-08-26T21:50:12Z	3997.61
Donall Deeming	2021-11-07T14:05:09Z	574.73
Donall Deeming	2022-03-14T11:20:34Z	1513.7
Blaire Dunleavy	2021-10-22T09:21:28Z	4169.54
Jarrett Olney	2021-11-23T14:38:25Z	2657.21
Malina Bruin	2021-12-31T07:17:03Z	4026.41
Zabrina Deniskevich	2021-10-11T19:43:47Z	382.23
De witt Standbridge	2021-08-26T22:01:00Z	3859.76
Lenard Emlen	2021-06-13T20:39:56Z	3895.06
Aland Pettendrich	2021-06-23T07:02:18Z	1454.22
De witt Standbridge	2021-05-13T18:27:01Z	4475.52
Burlie Poulett	2022-04-16T04:28:13Z	691.27
Blaire Dunleavy	2021-08-25T08:51:15Z	4062.31
Chandra O'Donoghue	2021-10-31T01:33:40Z	216.74
De witt Standbridge	2021-10-12T04:55:18Z	4717.66
Elizabeth Fagg	2021-09-18T07:38:54Z	4006.58
Pierson Stutt	2021-11-10T07:27:40Z	2222.87
Blaire Dunleavy	2022-02-17T20:42:55Z	1253.85
Pierson Stutt	2022-02-28T11:47:42Z	3317.55
Cori Keohane	2022-02-15T13:06:28Z	4350.05
Elizabeth Fagg	2022-03-20T11:46:43Z	730.99
Van Prosch	2021-12-05T02:50:13Z	4423.72
Chandra O'Donoghue	2021-05-18T05:46:15Z	2710.48
De witt Standbridge	2021-08-09T06:46:14Z	4080.48
Van Prosch	2022-03-28T00:53:20Z	3105.06
Donall Deeming	2022-02-23T02:27:18Z	830.9
Donall Deeming	2021-10-10T04:29:24Z	4302.79
Zabrina Deniskevich	2021-12-24T08:22:18Z	4976.48
Jaquenette Skinner	2022-04-13T01:12:57Z	1620.34
Blaire Dunleavy	2022-04-02T03:03:37Z	2705.46
Dennie Bransom	2021-09-06T03:35:42Z	210.85
Dennie Bransom	2021-07-14T14:56:32Z	3648.57
Chandra O'Donoghue	2022-01-23T08:03:59Z	2978.01
Jarrett Olney	2021-10-07T09:58:57Z	3841.91
Bee Skoggings	2021-05-21T07:24:59Z	2378.14
Bee Skoggings	2021-08-11T21:44:55Z	3659.58
Bee Skoggings	2022-04-23T00:35:31Z	3613.33
Jaquenette Skinner	2021-10-08T20:19:30Z	3488.66
Aland Pettendrich	2021-07-27T12:12:07Z	3607.99
Burlie Poulett	2021-08-02T09:43:58Z	2332.13
Elizabeth Fagg	2022-03-24T07:01:34Z	4034.41
Rip Hardware	2021-10-02T21:42:51Z	3249.56
